Vnum	LocalizedName
30111	Zombie Ghost Door
30112	Zombie Ghost Door
30113	Zombie Ghost Door
30114	Zombie Ghost Door
30115	Zombie Ghost Door
30116	Zombie Ghost Door
30117	Zombie Ghost Door
30118	Zombie Ghost Door
30119	Zombie Ghost Door
30120	Herb Bag
30121	Sura Ghost
30122	Warrior Ghost
30123	Dark Shrine
30124	Sura Skeleton
30125	Sura Skeleton
30126	Sura Skeleton
30127	Sura Skeleton
30128	Sura Skeleton
30129	White Rabbit
30130	Gravestone
30301	Vein of Soul Crystal Ore
30302	Vein of Ruby Ore
30303	Vein of Garnet Ore
30304	Vein of Emerald Ore
30305	Vein of Sapphire Ore
33001	Adventurer's Skull
33002	Ali Baba
33003	Homeless Beggar
33004	Homeless Beggar
33005	Homeless Beggar
33006	Homeless Beggar
33007	Homeless Beggar
33008	Jack Pumpkin
34001	Fire Phoenix
34002	Baby Reindeer
34003	Ice Phoenix
34004	Baby Gahnasel
34005	Porky
34006	Rufus
34007	Khan
34008	Leonidas
34009	Baby Gahnasel
34010	Bambi
34011	Young Bear
34012	Young Panda
34015	Skeleton dog
34016	Green Phoenix
