ITEM_VNUM~RANGE	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
6145	a?¡ì¨­¡¦A¢ÒN?+15	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	0	0	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	15	APPLY_ATTBONUS_MONSTER	25	APPLY_ATTBONUS_METIN	25	0	0	0	375	420	250	100	3	0
6150	a?¡ì¨­¡¦A¢ÒN?+0	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	120000	6131	291	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	1	APPLY_ATTBONUS_MONSTER	1	APPLY_ATTBONUS_METIN	1	0	0	0	375	420	0	0	3	0
6151	a?¡ì¨­¡¦A¢ÒN?+1	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	130000	6132	291	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	1	APPLY_ATTBONUS_MONSTER	1	APPLY_ATTBONUS_METIN	1	0	0	0	375	420	10	0	3	0
6152	a?¡ì¨­¡¦A¢ÒN?+2	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	145000	6133	291	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	1	APPLY_ATTBONUS_MONSTER	2	APPLY_ATTBONUS_METIN	2	0	0	0	375	420	14	0	3	0
6153	a?¡ì¨­¡¦A¢ÒN?+3	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	165000	6134	291	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	2	APPLY_ATTBONUS_MONSTER	3	APPLY_ATTBONUS_METIN	3	0	0	0	375	420	22	0	3	0
6154	a?¡ì¨­¡¦A¢ÒN?+4	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	190000	6135	291	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	2	APPLY_ATTBONUS_MONSTER	4	APPLY_ATTBONUS_METIN	4	0	0	0	375	420	33	30	3	0
6155	a?¡ì¨­¡¦A¢ÒN?+5	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	220000	6136	65200	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	3	APPLY_ATTBONUS_MONSTER	5	APPLY_ATTBONUS_METIN	5	0	0	0	375	420	50	40	3	0
6156	a?¡ì¨­¡¦A¢ÒN?+6	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	265000	6137	65201	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	3	APPLY_ATTBONUS_MONSTER	6	APPLY_ATTBONUS_METIN	6	0	0	0	375	420	74	50	3	0
6157	a?¡ì¨­¡¦A¢ÒN?+7	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	325000	6138	65202	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	4	APPLY_ATTBONUS_MONSTER	7	APPLY_ATTBONUS_METIN	7	0	0	0	375	420	111	65	3	0
6158	a?¡ì¨­¡¦A¢ÒN?+8	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	405000	6139	65203	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	4	APPLY_ATTBONUS_MONSTER	8	APPLY_ATTBONUS_METIN	8	0	0	0	375	420	167	80	3	0
6159	a?¡ì¨­¡¦A¢ÒN?+9	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6140	65204	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	5	APPLY_ATTBONUS_MONSTER	9	APPLY_ATTBONUS_METIN	9	0	0	0	375	420	250	100	3	0
6160	a?¡ì¨­¡¦A¢ÒN?+10	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6141	65205	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	7	APPLY_ATTBONUS_MONSTER	10	APPLY_ATTBONUS_METIN	10	0	0	0	375	420	250	100	3	0
6161	a?¡ì¨­¡¦A¢ÒN?+11	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6142	65206	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	8	APPLY_ATTBONUS_MONSTER	12	APPLY_ATTBONUS_METIN	12	0	0	0	375	420	250	100	3	0
6162	a?¡ì¨­¡¦A¢ÒN?+12	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6143	65207	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	9	APPLY_ATTBONUS_MONSTER	15	APPLY_ATTBONUS_METIN	15	0	0	0	375	420	250	100	3	0
6163	a?¡ì¨­¡¦A¢ÒN?+13	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6144	65208	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	10	APPLY_ATTBONUS_MONSTER	18	APPLY_ATTBONUS_METIN	18	0	0	0	375	420	250	100	3	0
6164	a?¡ì¨­¡¦A¢ÒN?+14	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	6145	65209	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	12	APPLY_ATTBONUS_MONSTER	20	APPLY_ATTBONUS_METIN	20	0	0	0	375	420	250	100	3	0
6165	a?¡ì¨­¡¦A¢ÒN?+15	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000	515000	0	0	15	LEVEL	96	LIMIT_NONE	0	APPLY_SKILL_DAMAGE_BONUS	15	APPLY_ATTBONUS_MONSTER	25	APPLY_ATTBONUS_METIN	25	0	0	0	375	420	250	100	3	0
6166	¨¬¢¬¢¬¢ç	ITEM_MATERIAL	MATERIAL_LEATHER	1	NONE	ITEM_STACKABLE	NONE	NONE	300	500	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
6500	Garradecianita+0	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	360000	6091	601	15	LEVEL	87	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	2	APPLY_ATTBONUS_MONSTER	1	0	0	0	122	165	0	0	3	0
6501	Garradecianita+1	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	395000	6092	602	15	LEVEL	89	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	3	APPLY_ATTBONUS_MONSTER	1	0	0	0	122	165	10	0	3	0
6502	Garradecianita+2	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	435000	6093	603	15	LEVEL	91	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	4	APPLY_ATTBONUS_MONSTER	2	0	0	0	122	165	14	0	3	0
6503	Garradecianita+3	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	500000	6094	604	15	LEVEL	93	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	5	APPLY_ATTBONUS_MONSTER	2	0	0	0	122	165	22	0	3	0
6504	Garradecianita+4	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	600000	6095	605	15	LEVEL	95	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	6	APPLY_ATTBONUS_MONSTER	3	0	0	0	122	165	33	30	3	0
6505	Garradecianita+5	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	750000	6096	606	15	LEVEL	97	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	7	APPLY_ATTBONUS_MONSTER	3	0	0	0	122	165	50	40	3	0
6506	Garradecianita+6	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	975000	6097	607	15	LEVEL	99	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	8	APPLY_ATTBONUS_MONSTER	4	0	0	0	122	165	74	50	3	0
6507	Garradecianita+7	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1320000	6098	608	15	LEVEL	101	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	10	APPLY_ATTBONUS_MONSTER	4	0	0	0	122	165	111	65	3	0
6508	Garradecianita+8	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	1845000	6099	609	15	LEVEL	103	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	12	APPLY_ATTBONUS_MONSTER	5	0	0	0	122	165	167	80	3	0
6509	Garradecianita+9	ITEM_WEAPON	WEAPON_CLAW	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	360000	2770000	0	0	15	LEVEL	105	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_ATTBONUS_HUMAN	15	APPLY_ATTBONUS_MONSTER	5	0	0	0	122	165	250	100	3	0
7000	©öe¨ù¡¾+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	7001	136	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	0	0	1	0
7001	©öe¨ù¡¾+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	100	7002	137	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	7	0	1	0
7002	©öe¨ù¡¾+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	100	7003	138	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	14	0	1	0
7003	©öe¨ù¡¾+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	150	7004	139	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	21	0	1	0
7004	©öe¨ù¡¾+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	150	7005	140	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	28	30	1	0
7005	©öe¨ù¡¾+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	200	7006	141	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	35	40	1	0
7006	©öe¨ù¡¾+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	250	7007	142	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	42	50	1	0
7007	©öe¨ù¡¾+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	350	7008	143	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	49	65	1	0
7008	©öe¨ù¡¾+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	500	7009	144	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	56	80	1	0
7009	©öe¨ù¡¾+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	750	0	0	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	13	15	11	15	63	100	1	0
7010	A¢Ò¨¡i¨ù¡¾+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	400	7011	136	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	0	0	1	0
7011	A¢Ò¨¡i¨ù¡¾+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	7012	137	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	7	0	1	0
7012	A¢Ò¨¡i¨ù¡¾+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	7013	138	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	14	0	1	0
7013	A¢Ò¨¡i¨ù¡¾+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	7014	139	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	21	0	1	0
7014	A¢Ò¨¡i¨ù¡¾+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	7015	140	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	28	30	1	0
7015	A¢Ò¨¡i¨ù¡¾+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1000	7016	141	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	35	40	1	0
7016	A¢Ò¨¡i¨ù¡¾+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1000	7017	142	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	42	50	1	0
7017	A¢Ò¨¡i¨ù¡¾+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1500	7018	143	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	49	65	1	0
7018	A¢Ò¨¡i¨ù¡¾+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	2000	7019	144	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	56	80	1	0
7019	A¢Ò¨¡i¨ù¡¾+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	3000	0	0	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	26	APPLY_NONE	0	APPLY_NONE	0	0	14	22	11	17	63	100	1	0
7020	E©¡E¡Ì¨ù¡¾+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	7021	136	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	0	0	1	0
7021	E©¡E¡Ì¨ù¡¾+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	7022	137	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	7	0	1	0
7022	E©¡E¡Ì¨ù¡¾+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	7023	138	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	14	0	1	0
7023	E©¡E¡Ì¨ù¡¾+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	7024	139	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	21	0	1	0
7024	E©¡E¡Ì¨ù¡¾+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	7025	140	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	28	30	1	0
7025	E©¡E¡Ì¨ù¡¾+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	7026	141	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	35	40	1	0
7026	E©¡E¡Ì¨ù¡¾+6	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	7027	142	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	42	50	1	0
7027	E©¡E¡Ì¨ù¡¾+7	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	2000	7028	143	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	49	65	1	0
7028	E©¡E¡Ì¨ù¡¾+8	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	3000	7029	144	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	56	80	1	0
7029	E©¡E¡Ì¨ù¡¾+9	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	4500	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	23	APPLY_NONE	0	APPLY_NONE	0	0	18	28	13	19	63	100	1	0
7030	C¨¢AI¨ù¡¾+0	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	800	7031	136	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	0	0	1	0
7031	C¨¢AI¨ù¡¾+1	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	7032	137	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	7	0	1	0
7032	C¨¢AI¨ù¡¾+2	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	7033	138	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	14	0	1	0
7033	C¨¢AI¨ù¡¾+3	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	7034	139	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	21	0	1	0
7034	C¨¢AI¨ù¡¾+4	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	7035	140	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	28	30	1	0
7035	C¨¢AI¨ù¡¾+5	ITEM_WEAPON	WEAPON_FAN	1	ANTI_MUSA | ANTI_ASSASSIN | ANTI_SURA | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	7036	141	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	18	APPLY_NONE	0	APPLY_NONE	0	0	24	32	17	21	35	40	1	0
